"","all_result$name","m_AUC","m_accuracy","m_kappa","m_sensitivity","m_specificity","m_ppv","m_npv","BIC"
"1","coefvar",0.71940372085048,0.652777777777778,0.305555555555556,0.490740740740741,0.814814814814815,0.726027397260274,0.615384615384615,"1243.31939118932"
"2","DET",0.691695601851852,0.635416666666667,0.270833333333333,0.6875,0.583333333333333,0.622641509433962,0.651162790697674,"1238.74295428241"
"3","ENTR",0.686851637517147,0.631944444444444,0.263888888888889,0.680555555555556,0.583333333333333,0.620253164556962,0.646153846153846,"1240.50496395597"
"4","iqr",0.678974837105624,0.621527777777778,0.243055555555556,0.712962962962963,0.530092592592593,0.602739726027397,0.648725212464589,"1243.19493588969"
"5","L",0.657043038408779,0.603009259259259,0.206018518518519,0.585648148148148,0.62037037037037,0.606714628297362,0.599552572706935,"1242.25725486037"
"6","LAM",0.696523491083676,0.627314814814815,0.25462962962963,0.743055555555556,0.511574074074074,0.603383458646617,0.66566265060241,"1240.35713211055"
"7","maxL",0.614186814128944,0.582175925925926,0.164351851851852,0.618055555555556,0.546296296296296,0.576673866090713,0.588528678304239,"1195.15711711474"
"8","mean",0.691100823045267,0.633101851851852,0.266203703703704,0.694444444444444,0.571759259259259,0.618556701030928,0.651715039577836,"1251.76401647795"
"9","meanad",0.686964163237311,0.626157407407407,0.252314814814815,0.657407407407407,0.594907407407407,0.618736383442266,0.634567901234568,"1213.64271561279"
"10","median",0.681573645404664,0.626157407407407,0.252314814814815,0.6875,0.564814814814815,0.612371134020619,0.643799472295514,"1251.22127529729"
"11","range",0.644643775720165,0.604166666666667,0.208333333333333,0.578703703703704,0.62962962962963,0.609756097560976,0.599118942731278,"1244.28728872705"
"12","RR",0.618393132716049,0.585648148148148,0.171296296296296,0.69212962962963,0.479166666666667,0.570610687022901,0.608823529411765,"1213.97381294715"
"13","sd",0.685270919067215,0.62962962962963,0.259259259259259,0.650462962962963,0.608796296296296,0.624444444444444,0.635265700483092,"1229.09228678264"
"14","TT",0.69815243484225,0.640046296296296,0.280092592592593,0.606481481481482,0.673611111111111,0.650124069478908,0.631236442516269,"1187.6399642603"
